streetAddress,addressLocality,postalCode,addressCountry,latitude,longitude
Bundoran Rd,Ballytivnan,F91 HH2Y,IE,54.280341,-8.472538
Dublin Road,Bray,A98 P9X2,IE,53.210011,-6.116018
Kickham Street,Thurles,E41 F9W9,IE,52.680377,-7.805488
Proudstown Road,Navan,C15 F2DH,IE,53.663072,-6.680254
"N11 Southbound, Kilmacanogue",Kilmacanogue,A98 D6Y4,IE,53.169740,-6.135617
Old Belgard Road,Tallaght,D24 XF6T,IE,53.298030,-6.372006
North Road,Finglas,D11 R9TY,IE,53.399429,-6.307138
146 Cabra Rd,Dublin,D07 XY8E,IE,53.361263,-6.291195
Bracetown,Clonee,D15 W9YX,IE,53.431155,-6.461174
Galway Rd,Tuam,H54 YK54,IE,53.510400,-8.865380
Cork Road,Midleton,P25 KV76,IE,51.914315,-8.184201
Nutgrove Way,Rathfarnham,D14 Y0T0,IE,53.290721,-6.268595
The Square,Tallaght,D24 X54A,IE,53.285311,-6.374969
Taylor's Lane,Rathfarnham,D16 N9C2,IE,53.281550,-6.289579
Greenhills Road,Tallaght,D24 N5YD,IE,53.296101,-6.354150
Rochestown Avenue,Dun Laoghaire,A96 R2R9,IE,53.270508,-6.142076
Hartstown Road,Hartstown,D15 YP3F,IE,53.392860,-6.418946
Tivoli,Cork,T23 D9PF,IE,51.903126,-8.428673
Rathass,Tralee,V92 H292,IE,52.265035,-9.678661
Ballymun Road,Santry,D09 W1K6,IE,53.403221,-6.264650
"Miltonsfields, Dublin Road",Swords,K67 R8C7,IE,53.453422,-6.224141
Enniskerry Road,Kilternan,D18 H9X9,IE,53.235653,-6.192657
East Douglas Street,Douglas,T12 K8NR,IE,51.878010,-8.436309
Donnybrook Road,Dublin,D04 K3T8,IE,53.320488,-6.234107
"Broughan, The Ward",Dunsoghly,D11 C3WC,IE,53.426858,-6.329049
Mounthawk,Tralee,V92 R6XC,IE,52.283595,-9.726984
3 Ulverton Road,Dalkey,A96 A4N8,IE,53.278825,-6.107144
Lucan Road,Lucan,K78 R6T3,IE,53.356568,-6.447940
"Topaz Building, Taney Road",Mountanville,D14 W0H2,IE,53.292749,-6.230447
Navan Rd,Mulhuddart,D15 X2CT,IE,53.402200,-6.396876
"Lakeview Service Station, Lakeview",Midleton,P25 N407,IE,51.905163,-8.167377
Waterford Road,Kilkenny,R95 WVX9,IE,52.640800,-7.248640
Castlecomer Rd,Bleach Green,R95 X5DT,IE,52.660919,-7.249822
Summerhill Road,Dunboyne,A86 T046,IE,53.420057,-6.476476
"Polefield Service Station, Commons Road",Cork,T23 W0XW,IE,51.916222,-8.474085
"College View, Limerick Road",Ennis,V95 YEY5,IE,52.830874,-8.979335
"Dublin Rd, Cavan",Cavan,H12 K6C9,IE,53.984808,-7.329075
Coolfore,Ashbourne,A84 KP90,IE,53.552989,-6.435858
"Dublin Port Company Service Station, Pro",Dublin Port,D03 W0Y8,IE,53.353907,-6.213970
"Brownsbarn Drive, Citywest Business Camp",Dublin,D24 N40K,IE,53.295102,-6.430928
Commons Road,Blackpool,T23 FRCO,IE,51.920155,-8.482479
Corbally Rd,Limerick,V94 VPN8,IE,52.670555,-8.616432
Tullow Rd,Carlow,R93 F7X3,IE,52.832007,-6.909305
Cullinagh,Newcastlewest,V42 AD72,IE,52.444509,-9.073094
Main Street,Grange,F91 E6DX,IE,54.390032,-8.528252
Cork Road,Carrigaline,P43 FH79,IE,51.819940,-8.391860
Tralee Road,Castleisland,V92 THP5,IE,52.231899,-9.468976
Fairyhouse Rd,Ratoath,A85 FX02,IE,53.488972,-6.471612
Garryspillane,KNOCKLONG,V35 V677,IE,52.411556,-8.378583
Clonmel Road,Carrick on Suir,E32 FC78,IE,52.348646,-7.423504
Cloghore,Ballyshannon,F94 D68F,IE,54.477123,-8.096818
Cashel,Achill,F28 Y0H9,IE,53.952631,-9.971150
Malahide Road,Artane,D05 K7P4,IE,53.381814,-6.208201
15 Navan Road,Dublin,D15 K3VW,IE,53.377970,-6.350977
Tallaght By Pass,Tymon South,D24 PD7E,IE,53.289268,-6.336090
Kill North,Kill,W91 XF97,IE,53.248316,-6.596103
Dublin Road,Bray,A98 EK25,IE,53.212454,-6.118698
Sandford Road,Ranelagh,D06 W2C0,IE,53.319983,-6.243708
Dublin Road,Drogheda,A92 N24D,IE,53.713011,-6.339240
"Ninth Lock Service Station, 2 Ninth Lock",Clondalkin,D22 E6R2,IE,53.329606,-6.397821
232 Clontarf Road,Clontarf,D03 EH72,IE,53.358505,-6.191467
Straffan Road,Maynooth,W23 V489,IE,53.370250,-6.590200
Dublin Road,Deerpark,R93 D6D5,IE,52.845953,-6.910993
Bray Road,Cabinteely,D18 Y9E4,IE,53.255134,-6.144338
"Greygates, Stillorgan Road",Mount Merrion,A94 H3K4,IE,53.295386,-6.204121
Grosvenor Road,Rathmines,D06 A9P4,IE,53.320983,-6.268050
Main Street,Dublin,K36 H006,IE,53.450671,-6.151992
12 Saint Peter's Road,Dublin 12,D12 KP9N,IE,53.310499,-6.325628
Strand Road,Sandymount,D04 W3C4,IE,53.324073,-6.207105
59-63 Ballymun Road,Ballymun,D09 X6K7,IE,53.381863,-6.266117
Lucan-By-Pass (Dublin Bound),Dublin,D20 WN96,IE,53.356160,-6.375150
Naas Road,Rathcoole,D24 EAX8,IE,53.283177,-6.468302
Bray Road,Greystones,A63 W0X9,IE,53.151797,-6.081331
Richmond Road,Ballybough,D03 X2P9,IE,53.362439,-6.242605
Naas Road,Clondalkin,D22 P9T8,IE,53.314873,-6.383962
Lower Kimmage Road,Kimmage,D6W VY44,IE,53.317197,-6.292863
Ballymurphy,Dunshaughlin,A85 FC78,IE,53.498450,-6.530490
Grange Road,Rathfarnham,D14 F1W3,IE,53.289515,-6.282979
Trim Rd,Dillonsland,C15 HW26,IE,53.642823,-6.687705
Crofton Road,Dún Laoghaire,A96 W0H4,IE,53.295557,-6.147706
Old Bray Road,Foxrock,D18 AK58,IE,53.256276,-6.145999
"N4 East Service Station, Clongowney",Mullingar,N91 HV25,IE,53.521020,-7.289890
"N4 West Service Station, Clongowney",Mullingar,N91 PFY9,IE,53.519320,-7.289080
"N11 Northbound, Kilmacanogue",Kilmacanogue,A98 R9K5,IE,53.168970,-6.136344
"The Hill, Lucan Road Old",Palmerstown,D20 CY82,IE,53.353010,-6.363795
"North Road Service Station, North Road",Drogheda,A92 D2FE,IE,53.723610,-6.363501
Thomondgate,Limerick,V94 T25X,IE,52.671692,-8.635733
Cork Road,Waterford,X91 RY9K,IE,52.245260,-7.129630
Kylemore Road,Ballyfermot,D12 XE6N,IE,53.327945,-6.343649
6 Fortfield Road,Kimmage,D6W Y271,IE,53.310663,-6.302524
9 Beaumont Road,Whitehall,D09 F3P4,IE,53.385445,-6.233752
647_657 S Circular Rd,Kilmainham,D08 V20D,IE,53.341346,-6.307934
Ashbourne Town,Meath,A84 DC63,IE,53.518798,-6.409088
Cork Airport,Cork,T12 W5FD,IE,51.848352,-8.480992
Main Street,Ballincollig,P31 HX54,IE,51.888265,-8.585408
Cork Road,Mitchelstown,P67 XP22,IE,52.262460,-8.271136
"15 Porters Rd, Coolmine Industrial Estat",Dublin,D15 P97R,IE,53.385307,-6.396481
Hollybrook,Ballywaltrim,A98 K0E3,IE,53.182367,-6.132462
Main Street,Kilcoole,A63 YE00,IE,53.110323,-6.065485
Nangor Road,Clondalkin,D22 V9T7,IE,53.318317,-6.437635
Dublin Road,Wicklow,A67 XK44,IE,52.986220,-6.059006
"Junction 8, M8 Cashel, Waller's-Lot",Cashel,E25 R722,IE,52.509404,-7.872305
Coolshannagh,Monaghan,H18 T282,IE,54.263600,-6.959410
Dublin Road,Athy,R14 T254,IE,52.994339,-6.967306
Ballysimon Rd,Limerick,V94 V1KF,IE,52.652661,-8.593600
Battery Road,Longford,N39 X9C5,IE,53.738753,-7.801677
Collinstown Road,Swords,K67 N4C8,IE,53.428688,-6.234655
Cranley Centre,Dublin 22,D22 E3X6,IE,53.321457,-6.357867
"M8 Junction 3, Tintore",Ballacolla,R32 X8H7,IE,52.866494,-7.480754
Clonshaugh Road,Swords,K67 NH00,IE,53.412465,-6.216488
Monaghan Rd,Clones,H23 Y866,IE,54.181632,-7.226157
"M11 Services Area, Ballyellen",Inch,Y25 V8F8,IE,52.751030,-6.203290
"M6 Service Area, Fossagh, Mount Temple",Moate,N37 N2T0,IE,53.400792,-7.827737
"M9 Service Area, Kilgowan",Kilcullen,R56 T251,IE,53.089000,-6.753795
"Trim Retail Park, Navan Road",Trim,C15 C52C,IE,53.562399,-6.767024
Dublin Road,Arklow,Y14 HK70,IE,52.803034,-6.147974
"Citywest Road, Citywest Business Campus",Citywest,D24 FD72,IE,53.288056,-6.423723
Newtown,Newtown,P75 EE70,IE,51.691137,-9.442250
Junction 5 M9,Rathcrogue,R93 N2X8,IE,52.802665,-6.883146
Kilrush Roundabout,Waterford,X35 VX06,IE,52.092456,-7.634977
Coolcower,Macroom,P12 X721,IE,51.891400,-8.937700
Moorepark West,Fermoy,P61 HP52,IE,52.164120,-8.264648
City North Business Campus,Gormanstown,K32 VR44,IE,53.637671,-6.258343
Main Street,Ashford,A67 EP60,IE,53.011582,-6.108460
Tullow Rd,Carlow,R93 AK57,IE,52.832319,-6.909023
Moybridge,Emyvale,A81,IE,54.399249,-6.975502
Port Road,Letterkenny,F92 HN44,IE,54.952293,-7.725994
16 / 17 Lower O'Connell Street,Dublin 1,D01 R2R6,IE,53.348762,-6.259343
3 & 4 Ballast House,Dublin 2,D02 XF76,IE,53.346660,-6.259467
49 Grafton Street,Dublin 2,D02 KP26,IE,53.340261,-6.260582
4/5 Lower College Green,Dublin 2,D02 TY42,IE,53.344429,-6.261696
Units 1-3 The Atrium (Ground Floor),Dublin 18,D18 E5Y8,IE,53.276451,-6.208992
"Unit B, 24 Oak Road Business Park",Dublin 12,D12 EY18,IE,53.326937,-6.370763
Unit 8 Fonthill Retail Park,Dublin 22,D22 V2F7,IE,53.348359,-6.406303
36 Upper O'Connell Street,Dublin 1,D01 A0X8,IE,53.352598,-6.261100
16 Nassau Street,Dublin 2,D02 YR22,IE,53.343085,-6.258972
"Nutts Corner, Tully Road 11",Crumlin,BT29 4SW,GB,54.641497,-6.155622
200 Andersonstown Road,Belfast,BT119EB,GB,54.572889,-5.992812
43 Warrenpoint Road,Rostrevor,BT34 3EB,GB,54.099375,-6.206476
25 Lisburn Road,Moira,BT67 0JS,GB,54.498402,-6.153326
Lifford Road,Strabane,BT82 8EP,GB,54.830634,-7.477043
62 Silverwood Road,Lurgan,BT666LE,GB,54.468034,-6.367000
"236 Irvinestown Road, Trory",ENNISKILLEN,BT94 2FE,GB,54.385593,-7.641527
50 Moorlough Road,Lisnakea,BT92 0DW,GB,54.244482,-7.438839
"Flush Retail Park, 1A Banbridge Rd",Lurgan,BT66 7EG,GB,54.456114,-6.323856
"351 Sligo Road, Letterbreen",Enniskillen,BT74 9FH,GB,54.309122,-7.733716
204 Glenravel Road,Cargan,BT436RD,GB,54.995625,-6.180107
35 Kilkeel Road,Annalong,BT34 4TJ,GB,54.106473,-5.902602
232 Omagh Road,Garvaghy,BT722DX,GB,54.488339,-7.134710
1 Killylea Road,ARMAGH,BT60 4AN,GB,54.345863,-6.664290
97 Knockmore Road,Lisburn,BT28 2TA,GB,54.517698,-6.077843
Prince Andrew Way,Carrickfergus,BT38 7TU,GB,54.727628,-5.806052
16 Belfast Road,Newry,BT34 1QA,GB,54.187334,-6.335029
2 Ballymena Road,Ballymoney,BT53 7AB,GB,55.070713,-6.503646
34 Clady Road,Portglenone,BT44 8NG,GB,54.872522,-6.488947
162 Station Road,Portstewart,BT55 7PU,GB,55.182386,-6.696542
243-267 Upper Lisburn Road,Belfast,BT10 0LN,GB,54.557223,-5.991565
37 Newry Road,Mayobridge,BT342ET,GB,54.178591,-6.239818
121 Drumaness Road,Ballynahinch,BT248RL,GB,54.369580,-5.853943
1 Moy Road,Armagh,BT617LY,GB,54.355550,-6.657466
40 Priestland Road,Bushmills,BT578XB,GB,55.196049,-6.534671
112 Market Street,Downpatrick,BT306LZ,GB,54.325085,-5.719289
23A Church Street,Banbridge,BT32 4AD,GB,54.353606,-6.268150
105 - 107 Melmount Road,Sion mills,BT82 9PY,GB,54.790799,-7.474107
61A Upper Dromore Road,Warrenpoint,BT343PN,GB,54.113000,-6.260470
82 Derry Road,Omagh,BT785ED,GB,54.610678,-7.323483
323 Beersbridge Road,Belfast,BT55DS,GB,54.592530,-5.889533
1 Lanark Way,Belfast,BT13 3FT,GB,54.603050,-5.959291
60 Antrim Road,Lurgan,BT679BW,GB,54.472074,-6.323596
31 Keady Street,Markethill,BT60 1PN,GB,54.298253,-6.523703
1 Mayfield Link,Mallusk,BT36 4AW,GB,54.672582,-5.983040
Unit 1A,LARNE,BT40 1AX,GB,54.846146,-5.806928
42 Newry Road,Kilkeel,BT34 4DT,GB,54.066776,-6.014500
Warrenpoint Road,NEWRY,BT34 2PF,GB,54.165469,-6.333431
19 Mullaghglass Road,LISBURN,BT28 3SN,GB,54.548316,-6.076412
127 OLD GLENARM ROAD,LARNE,BT40 1NQ,GB,54.856370,-5.815342
Loughshore Road,Belleek,BT93 3FU,GB,54.476380,-8.095222
Clones Road,Newtownbutler,BT92 6JP,GB,54.182120,-7.354965
51 O'Neill Road,NEWTOWNABBEY,BT36 6UN,GB,54.670560,-5.925406
2 Tattymoyle Road,Fintona,BT78 2AS,GB,54.495855,-7.320180
10 Woodburn Road,CARRICKFERGUS,BT38 8HQ,GB,54.718469,-5.820964
82 Dundrum Road,NEWCASTLE,BT33 0LN,GB,54.220348,-5.887183
16 Main Street,Moira,BT67 0LE,GB,54.479308,-6.230468
1 - 19 Dargan Drive,BELFAST,BT3 9JG,GB,54.627072,-5.912697
Unit 1a Redlands Road,LARNE,BT40 1AX,GB,54.845957,-5.805865
A4 Falcon Road,BELFAST,BT12 6SJ,GB,54.578493,-5.958565
804 Feeny Road,LONDONDERRY,BT47 4TA,GB,54.927279,-6.940941
228 Stewartstown Road,BELFAST,BT17 0LB,GB,54.554068,-6.027530
10 Lurgan Road,Aghalee,BT67 0DD,GB,54.519805,-6.271679
139 Garvaghy Road,Portadown,BT62 1EH,GB,54.429003,-6.447960
16 Belfast Road,NEWRY,BT34 1QA,GB,54.187567,-6.336108
2 Carncullagh Road,Dervock,BT53 8BD,GB,55.123173,-6.467716
